"station_id","tract_geoid","state_fips","state_name","county_fips","tract_code","site_name","industry","matrix","sample_year","longitude","latitude","pfoa","pfos","total_pfas","reported_pfas_level","total_population","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","aian_non_hispanic_pct","asian_non_hispanic_pct","nhpi_non_hispanic_pct","other_race_non_hispanic_pct","multiracial_non_hispanic_pct","hispanic_or_latino_pct","median_household_income"
"78","06037404402","06","California","037","404402","Azusa Land Reclamation Landfill","Landfill","Groundwater","2019","-117.926877","34.119628","4","2","32","32","4673","4382","93.772736999786","6.227263000214","0.641985876310721","0","9.69398673229189","0","4.85769313075112","1.02717740209715","77.5518938583351","96616"
"79","06037408006","06","California","037","408006","Bkk Class III Landfill","Landfill","Groundwater","2019","-117.899965","34.035352","1",,"33","33","3970","3646","91.8387909319899","8.16120906801008","0.251889168765743","0","40.831234256927","0","0.403022670025189","0.52896725440806","49.823677581864","84130"
"80","06071009134","06","California","071","009134","Adelanto Class III Landfill","Landfill","Groundwater","2019","-117.442755","34.652885","5","2","35","35","871","713","81.8599311136625","18.1400688863375","1.26291618828932","0","0.459242250287026","0.229621125143513","0","0","79.9081515499426","61250"
"81","06071011900","06","California","071","011900","Lenwood-Hinkley Landfill","Landfill","Groundwater","2019","-117.109189","34.943262","4","2","36","36","2371","863","36.3981442429355","63.6018557570645","0.337410375369043","1.47617039223956","0.759173344580346","0","1.22311261071278","3.03669337832138","29.5655841417124","66250"
"82","06071010424","06","California","071","010424","Lucerne Valley Closed Waste Management Facility","Landfill","Groundwater","2019","-116.835801","34.516023","20","2","39","39","1579","535","33.8822039265358","66.1177960734642","6.64977834072198","6.90310322989234","2.21659278024066","0","1.70994300189994","3.73654211526282","12.666244458518","58835"
"83","06067008803","06","California","067","008803","Inactive Rancho Cordova Test Site - Mcdonnell Douglas","Industry","Groundwater","2019","-121.301992","38.568759","11","8","41","41","2203","722","32.7734906945075","67.2265093054925","12.2560145256468","0","2.72355878347708","0","0","3.67680435769405","14.1171130276895","73250"
"84","06071011300","06","California","071","011300","Big Bear Class III Waste Management Facility","Landfill","Groundwater","2019","-116.821768","34.304336","17","4","46","46","1123","284","25.2894033837934","74.7105966162066","0","0","3.38379341050757","0","1.8699910952805","10.5966162065895","9.43900267141585","81833"
"85","06107002701","06","California","107","002701","Balance Rock Solid Waste Disposal Service","Landfill","Groundwater","2019","-118.655689","35.811245",,,"49","49","1354","358","26.4401772525849","73.5598227474151","0.221565731166913","1.55096011816839","0","0","0.221565731166913","4.28360413589365","20.1624815361891","57202"
"86","06037104204","06","California","037","104204","Lopez Canyon Landfill","Landfill","Groundwater","2019","-118.392198","34.293776",,,"52","52","3577","3125","87.363712608331","12.636287391669","4.55689124965054","1.09029913335197","3.46659211629857","0","0","0.810735253005312","77.4391948560246","76250"
"87","06025011100","06","California","025","011100","Imperial County Class III Waste Management Facility","Landfill","Groundwater","2019","-115.682227","32.845942","8","13","57","57","3167","2622","82.7912851278813","17.2087148721187","4.35743605936217","0","1.04199557941269","0","0","11.872434480581","65.5194190085254","68854"
"88","06075980600","06","California","075","980600","HUNTERS POINT NAVAL SHIPYARD","Military","Groundwater","2019","-122.36732","37.72229","21","38","59","59","1295","1057","81.6216216216216","18.3783783783784","22.007722007722","0","36.5250965250965","0","1.6988416988417","7.02702702702703","14.3629343629344","154375"
"89","06073019209","06","California","073","019209","Bonsall Landfill","Landfill","Groundwater","2019","-117.183548","33.249664","15","4","63","63","2792","1097","39.2908309455587","60.7091690544413","4.22636103151862","0","5.73065902578797","0","0.214899713467049","4.2621776504298","24.8567335243553","140417"
