"tract_geoid","state_fips","county_fips","tract_code","total_population","total_population_moe","race_ethnicity_total","white_non_hispanic","black_non_hispanic","aian_non_hispanic","asian_non_hispanic","nhpi_non_hispanic","other_race_non_hispanic","multiracial_non_hispanic","hispanic_or_latino","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","asian_non_hispanic_pct","hispanic_or_latino_pct","median_household_income","median_household_income_moe","reported_pfas_observation_count","primary_pfas_average","pfoa_observation_count","station_count","primary_pfas_observation_count","pfos_observation_count","measurement_record_count","pfoa_average","total_pfas_average","reported_pfas_average","pfos_average","total_pfas_observation_count","primary_pfas_measure"
"06001408200","06","001","408200","4504","683","4504","824","1960","0","196","0","53","190","1281","3680","81.7051509769094","18.2948490230906","43.5168738898757","4.35168738898757","28.4413854351687","86624","16946","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001408300","06","001","408300","4705","574","4705","1162","1499","0","567","0","67","226","1184","3543","75.3028692879915","24.6971307120085","31.8597236981934","12.0510095642933","25.1647183846971","148950","28226","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001408400","06","001","408400","3965","640","3965","270","1258","0","251","0","9","7","2170","3695","93.1904161412358","6.80958385876419","31.7276166456494","6.33039092055485","54.7288776796974","76528","20188","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001408500","06","001","408500","5263","944","5263","82","1792","0","380","0","73","485","2451","5181","98.4419532585978","1.55804674140224","34.0490214706441","7.22021660649819","46.5703971119134","57303","18129","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001408600","06","001","408600","5925","856","5925","563","1870","29","294","0","64","179","2926","5362","90.4978902953586","9.50210970464135","31.5611814345992","4.9620253164557","49.3839662447257","77083","24913","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001408700","06","001","408700","7280","1191","7280","561","2004","0","536","0","0","127","4052","6719","92.293956043956","7.70604395604396","27.5274725274725","7.36263736263736","55.6593406593407","53116","17660","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001408800","06","001","408800","7461","1134","7461","640","2329","40","545","0","16","702","3189","6821","91.4220613858732","8.57793861412679","31.2156547379708","7.30465085109235","42.7422597507037","42759","15066","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001408900","06","001","408900","3958","621","3958","120","744","0","86","0","0","0","3008","3838","96.9681657402729","3.03183425972713","18.7973724103082","2.17281455280445","75.9979787771602","48125","12434","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001409000","06","001","409000","4204","1161","4204","187","1063","0","318","17","38","60","2521","4017","95.5518553758325","4.44814462416746","25.2854424357755","7.56422454804948","59.9666983824929","75987","32889","2","4100","2","2","2","2","2","4100","283685","283685","170000","2","PFOA"
"06001409100","06","001","409100","2455","300","2455","211","441","0","129","0","15","27","1632","2244","91.4052953156823","8.59470468431772","17.9633401221996","5.25458248472505","66.4765784114053","85707","20426","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001409200","06","001","409200","3785","505","3785","100","999","0","150","67","18","111","2340","3685","97.3579920739762","2.64200792602378","26.3936591809775","3.96301188903567","61.8229854689564","85769","6149","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001409300","06","001","409300","5832","829","5832","170","889","63","287","0","52","187","4184","5662","97.0850480109739","2.91495198902606","15.2434842249657","4.92112482853224","71.7421124828532","68859","12746","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001409400","06","001","409400","4983","796","4983","132","826","0","455","0","0","72","3498","4851","97.3509933774834","2.64900662251656","16.5763596227172","9.13104555488662","70.1986754966887","88707","5491","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001409500","06","001","409500","4548","720","4548","690","677","19","39","0","0","128","2995","3858","84.8284960422164","15.1715039577836","14.8856640281442","0.857519788918206","65.8531222515391","69583","36933","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001409600","06","001","409600","5442","646","5442","75","1560","6","0","0","75","26","3700","5367","98.6218302094818","1.37816979051819","28.6659316427784","0","67.9897096655641","62903","8408","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001409700","06","001","409700","5543","776","5543","293","1857","0","344","35","0","585","2429","5250","94.714053761501","5.28594623849901","33.5017138733538","6.20602561789645","43.8210355403211","37237","14279","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001409800","06","001","409800","3370","614","3370","494","1505","0","226","0","95","357","693","2876","85.3412462908012","14.6587537091988","44.6587537091988","6.70623145400593","20.5637982195846","115650","31371","0",,"0","0","0","0","0",,,,,"0","PFOA"
